Current Standard Occupation Code|Current Job Title|Match Standard Occupation Code|Match Job Title|Match Rank|Base Employment|Total Job Openings|Median Hourly Wage|Median Annual Wage|Entry Level Education|Work Experience|Job Training|Location
49-9041.00|Industrial Machinery Mechanics|49-9071|Maintenance and Repair Workers, General|2|8500|9020|26.98|56126|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
47-2152.01|Pipe Fitters and Steamfitters|49-9092|Commercial Divers|9|8500|9020|26.98|56126|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
47-2152.02|Plumbers|49-9092|Commercial Divers|6|8500|9020|26.98|56126|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
47-2152.01|Pipe Fitters and Steamfitters|47-2111|Electricians|8|6370|8590|51.1|106298|High school diploma or equivalent|None|Apprenticeship|Contra Costa
51-9198.00|Helpers--Production Workers|35-9021|Dishwashers|1|6180|10360|15.49|32213|No formal educational credential|None|Short-term on-the-job training|Contra Costa
51-9061.00|Inspectors, Testers, Sorters, Samplers, and Weighers|43-5071|Shipping, Receiving, and Traffic Clerks|3|5670|5960|20.09|41789|High school diploma or equivalent|None|Short-term on-the-job training|Contra Costa
49-3031.00|Bus and Truck Mechanics and Diesel Engine Specialists|49-3023|Automotive Master Mechanics|6|5550|5000|28.22|58692|Postsecondary non-degree award|None|Short-term on-the-job training|Contra Costa
49-9041.00|Industrial Machinery Mechanics|49-3023|Automotive Master Mechanics|5|5550|5000|28.22|58692|Postsecondary non-degree award|None|Short-term on-the-job training|Contra Costa
49-1011.00|First-Line Supervisors of Mechanics, Installers, and Repairers|47-1011|First-Line Supervisors of Construction Trades and Extraction Workers|2|5380|6150|44|91507|High school diploma or equivalent|5 years or more|None|Contra Costa
51-1011.00|First-Line Supervisors of Production and Operating Workers|47-1011|First-Line Supervisors of Construction Trades and Extraction Workers|6|5380|6150|44|91507|High school diploma or equivalent|5 years or more|None|Contra Costa
47-2152.01|Pipe Fitters and Steamfitters|47-2011|Boilermakers|7|5380|6150|44|91507|High school diploma or equivalent|5 years or more|None|Contra Costa
47-2152.02|Plumbers|47-2011|Boilermakers|5|5380|6150|44|91507|High school diploma or equivalent|5 years or more|None|Contra Costa
47-5013.00|Service Unit Operators, Oil, Gas, and Mining|53-7071|Gas Compressor and Gas Pumping Station Operators|4|5090|7120|16.39|34087|No formal educational credential|None|Short-term on-the-job training|Contra Costa
49-9012.00|Control and Valve Installers and Repairers, Except Mechanical Door|53-7071|Gas Compressor and Gas Pumping Station Operators|10|5090|7120|16.39|34087|No formal educational credential|None|Short-term on-the-job training|Contra Costa
51-8013.00|Power Plant Operators|53-7071|Gas Compressor and Gas Pumping Station Operators|4|5090|7120|16.39|34087|No formal educational credential|None|Short-term on-the-job training|Contra Costa
51-8091.00|Chemical Plant and System Operators|53-7071|Gas Compressor and Gas Pumping Station Operators|5|5090|7120|16.39|34087|No formal educational credential|None|Short-term on-the-job training|Contra Costa
51-8092.00|Gas Plant Operators|53-7071|Gas Compressor and Gas Pumping Station Operators|2|5090|7120|16.39|34087|No formal educational credential|None|Short-term on-the-job training|Contra Costa
51-8093.00|Petroleum Pump System Operators, Refinery Operators, and Gaugers|53-7071|Gas Compressor and Gas Pumping Station Operators|5|5090|7120|16.39|34087|No formal educational credential|None|Short-term on-the-job training|Contra Costa
51-9011.00|Chemical Equipment Operators and Tenders|53-7071|Gas Compressor and Gas Pumping Station Operators|6|5090|7120|16.39|34087|No formal educational credential|None|Short-term on-the-job training|Contra Costa
51-9023.00|Mixing and Blending Machine Setters, Operators, and Tenders|53-7071|Gas Compressor and Gas Pumping Station Operators|9|5090|7120|16.39|34087|No formal educational credential|None|Short-term on-the-job training|Contra Costa
53-7073.00|Wellhead Pumpers|53-7071|Gas Compressor and Gas Pumping Station Operators|1|5090|7120|16.39|34087|No formal educational credential|None|Short-term on-the-job training|Contra Costa
53-7121.00|Tank Car, Truck, and Ship Loaders|53-7071|Gas Compressor and Gas Pumping Station Operators|1|5090|7120|16.39|34087|No formal educational credential|None|Short-term on-the-job training|Contra Costa
51-8013.00|Power Plant Operators|53-7072|Pump Operators, Except Wellhead Pumpers|10|5090|7120|16.39|34087|No formal educational credential|None|Short-term on-the-job training|Contra Costa
51-8091.00|Chemical Plant and System Operators|53-7072|Pump Operators, Except Wellhead Pumpers|1|5090|7120|16.39|34087|No formal educational credential|None|Short-term on-the-job training|Contra Costa
51-8092.00|Gas Plant Operators|53-7072|Pump Operators, Except Wellhead Pumpers|6|5090|7120|16.39|34087|No formal educational credential|None|Short-term on-the-job training|Contra Costa
51-8093.00|Petroleum Pump System Operators, Refinery Operators, and Gaugers|53-7072|Pump Operators, Except Wellhead Pumpers|4|5090|7120|16.39|34087|No formal educational credential|None|Short-term on-the-job training|Contra Costa
51-9011.00|Chemical Equipment Operators and Tenders|53-7072|Pump Operators, Except Wellhead Pumpers|4|5090|7120|16.39|34087|No formal educational credential|None|Short-term on-the-job training|Contra Costa
53-7073.00|Wellhead Pumpers|53-7072|Pump Operators, Except Wellhead Pumpers|4|5090|7120|16.39|34087|No formal educational credential|None|Short-term on-the-job training|Contra Costa
53-7121.00|Tank Car, Truck, and Ship Loaders|53-7072|Pump Operators, Except Wellhead Pumpers|4|5090|7120|16.39|34087|No formal educational credential|None|Short-term on-the-job training|Contra Costa
47-2073.00|Operating Engineers and Other Construction Equipment Operators|47-2151|Pipelayers|10|4670|5210|36.61|76150|No formal educational credential|None|Moderate-term on-the-job training|Contra Costa
53-7062.00|Laborers and Freight, Stock, and Material Movers, Hand|47-2151|Pipelayers|8|4670|5210|36.61|76150|No formal educational credential|None|Moderate-term on-the-job training|Contra Costa
47-1011.00|First-Line Supervisors of Construction Trades and Extraction Workers|47-2152|Pipe Fitters and Steamfitters|3|4150|5530|55.37|115163|High school diploma or equivalent|None|Apprenticeship|Contra Costa
47-1011.00|First-Line Supervisors of Construction Trades and Extraction Workers|47-2152|Plumbers|5|4150|5530|55.37|115163|High school diploma or equivalent|None|Apprenticeship|Contra Costa
47-2111.00|Electricians|47-2152|Pipe Fitters and Steamfitters|5|4150|5530|55.37|115163|High school diploma or equivalent|None|Apprenticeship|Contra Costa
47-2111.00|Electricians|47-2152|Plumbers|6|4150|5530|55.37|115163|High school diploma or equivalent|None|Apprenticeship|Contra Costa
47-2152.01|Pipe Fitters and Steamfitters|47-2152|Plumbers|1|4150|5530|55.37|115163|High school diploma or equivalent|None|Apprenticeship|Contra Costa
47-2152.02|Plumbers|47-2152|Pipe Fitters and Steamfitters|1|4150|5530|55.37|115163|High school diploma or equivalent|None|Apprenticeship|Contra Costa
49-9071.00|Maintenance and Repair Workers, General|47-2152|Plumbers|1|4150|5530|55.37|115163|High school diploma or equivalent|None|Apprenticeship|Contra Costa
49-9071.00|Maintenance and Repair Workers, General|47-2152|Pipe Fitters and Steamfitters|4|4150|5530|55.37|115163|High school diploma or equivalent|None|Apprenticeship|Contra Costa
51-4121.06|Welders, Cutters, and Welder Fitters|51-2031|Engine and Other Machine Assemblers|7|3770|4730|22.34|46476|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-4121.07|Solderers and Brazers|51-2031|Engine and Other Machine Assemblers|10|3770|4730|22.34|46476|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
49-1011.00|First-Line Supervisors of Mechanics, Installers, and Repairers|51-1011|First-Line Supervisors of Production and Operating Workers|10|3750|4200|37.8|78624|High school diploma or equivalent|Less than 5 years|None|Contra Costa
47-1011.00|First-Line Supervisors of Construction Trades and Extraction Workers|49-1011|First-Line Supervisors of Mechanics, Installers, and Repairers|7|2950|2770|44.52|92606|High school diploma or equivalent|Less than 5 years|None|Contra Costa
51-1011.00|First-Line Supervisors of Production and Operating Workers|49-1011|First-Line Supervisors of Mechanics, Installers, and Repairers|9|2950|2770|44.52|92606|High school diploma or equivalent|Less than 5 years|None|Contra Costa
51-4121.07|Solderers and Brazers|51-9111|Packaging and Filling Machine Operators and Tenders|1|2800|3560|17.45|36298|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-9198.00|Helpers--Production Workers|51-9111|Packaging and Filling Machine Operators and Tenders|2|2800|3560|17.45|36298|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
53-7062.00|Laborers and Freight, Stock, and Material Movers, Hand|51-9111|Packaging and Filling Machine Operators and Tenders|7|2800|3560|17.45|36298|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
47-1011.00|First-Line Supervisors of Construction Trades and Extraction Workers|45-1011|First-Line Supervisors of Animal Husbandry and Animal Care Workers|2|2700|3390|23.95|49822|High school diploma or equivalent|None|Short-term on-the-job training|Contra Costa
49-1011.00|First-Line Supervisors of Mechanics, Installers, and Repairers|45-1011|First-Line Supervisors of Animal Husbandry and Animal Care Workers|6|2700|3390|23.95|49822|High school diploma or equivalent|None|Short-term on-the-job training|Contra Costa
51-1011.00|First-Line Supervisors of Production and Operating Workers|45-1011|First-Line Supervisors of Agricultural Crop and Horticultural Workers|3|2700|3390|23.95|49822|High school diploma or equivalent|None|Short-term on-the-job training|Contra Costa
51-1011.00|First-Line Supervisors of Production and Operating Workers|45-1011|First-Line Supervisors of Logging Workers|5|2700|3390|23.95|49822|High school diploma or equivalent|None|Short-term on-the-job training|Contra Costa
53-7062.00|Laborers and Freight, Stock, and Material Movers, Hand|53-7051|Industrial Truck and Tractor Operators|10|2680|3460|21.95|45661|No formal educational credential|None|Short-term on-the-job training|Contra Costa
49-9041.00|Industrial Machinery Mechanics|51-4041|Machinists|7|2650|2950|27.28|56742|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
51-9023.00|Mixing and Blending Machine Setters, Operators, and Tenders|51-4051|Metal-Refining Furnace Operators and Tenders|6|2650|2950|27.28|56742|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
49-9012.00|Control and Valve Installers and Repairers, Except Mechanical Door|49-3031|Bus and Truck Mechanics and Diesel Engine Specialists|2|2480|2370|35.05|72903|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
49-3031.00|Bus and Truck Mechanics and Diesel Engine Specialists|49-3041|Farm Equipment Mechanics and Service Technicians|5|2480|2370|35.05|72903|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
47-2111.00|Electricians|49-2022|Telecommunications Equipment Installers and Repairers, Except Line Installers|7|2290|2240|37.97|78975|Postsecondary non-degree award|None|Moderate-term on-the-job training|Contra Costa
49-9041.00|Industrial Machinery Mechanics|49-2092|Electric Motor, Power Tool, and Related Repairers|1|2290|2240|37.97|78975|Postsecondary non-degree award|None|Moderate-term on-the-job training|Contra Costa
49-9071.00|Maintenance and Repair Workers, General|49-2092|Electric Motor, Power Tool, and Related Repairers|6|2290|2240|37.97|78975|Postsecondary non-degree award|None|Moderate-term on-the-job training|Contra Costa
47-2111.00|Electricians|49-9021|Heating and Air Conditioning Mechanics and Installers|1|2160|2530|35.07|72944|Postsecondary non-degree award|None|Long-term on-the-job training|Contra Costa
47-2111.00|Electricians|49-9021|Refrigeration Mechanics and Installers|2|2160|2530|35.07|72944|Postsecondary non-degree award|None|Long-term on-the-job training|Contra Costa
47-2152.01|Pipe Fitters and Steamfitters|49-9021|Heating and Air Conditioning Mechanics and Installers|6|2160|2530|35.07|72944|Postsecondary non-degree award|None|Long-term on-the-job training|Contra Costa
47-2152.02|Plumbers|49-9021|Heating and Air Conditioning Mechanics and Installers|3|2160|2530|35.07|72944|Postsecondary non-degree award|None|Long-term on-the-job training|Contra Costa
47-2152.02|Plumbers|49-9021|Refrigeration Mechanics and Installers|9|2160|2530|35.07|72944|Postsecondary non-degree award|None|Long-term on-the-job training|Contra Costa
49-9012.00|Control and Valve Installers and Repairers, Except Mechanical Door|49-9021|Heating and Air Conditioning Mechanics and Installers|8|2160|2530|35.07|72944|Postsecondary non-degree award|None|Long-term on-the-job training|Contra Costa
51-8013.00|Power Plant Operators|51-8093|Petroleum Pump System Operators, Refinery Operators, and Gaugers|8|1890|1480|47.17|98102|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-8091.00|Chemical Plant and System Operators|51-8093|Petroleum Pump System Operators, Refinery Operators, and Gaugers|3|1890|1480|47.17|98102|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-8092.00|Gas Plant Operators|51-8093|Petroleum Pump System Operators, Refinery Operators, and Gaugers|9|1890|1480|47.17|98102|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-9011.00|Chemical Equipment Operators and Tenders|51-8093|Petroleum Pump System Operators, Refinery Operators, and Gaugers|2|1890|1480|47.17|98102|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
53-7121.00|Tank Car, Truck, and Ship Loaders|51-8093|Petroleum Pump System Operators, Refinery Operators, and Gaugers|10|1890|1480|47.17|98102|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
47-1011.00|First-Line Supervisors of Construction Trades and Extraction Workers|37-1012|First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers|1|1730|2110|31.5|65532|High school diploma or equivalent|Less than 5 years|None|Contra Costa
51-9061.00|Inspectors, Testers, Sorters, Samplers, and Weighers|51-4121|Solderers and Brazers|4|1680|1980|27.46|57113|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-9198.00|Helpers--Production Workers|51-4121|Welders, Cutters, and Welder Fitters|5|1680|1980|27.46|57113|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
53-7051.00|Industrial Truck and Tractor Operators|51-4121|Welders, Cutters, and Welder Fitters|6|1680|1980|27.46|57113|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
47-1011.00|First-Line Supervisors of Construction Trades and Extraction Workers|11-3051|Industrial Production Managers|8|1650|1400|65.59|136422|Bachelor's degree|5 years or more|None|Contra Costa
47-5012.00|Rotary Drill Operators, Oil and Gas|47-4041|Hazardous Materials Removal Workers|5|1460|2270|23.67|49248|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-9011.00|Chemical Equipment Operators and Tenders|47-4041|Hazardous Materials Removal Workers|9|1460|2270|23.67|49248|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
53-7121.00|Tank Car, Truck, and Ship Loaders|47-4041|Hazardous Materials Removal Workers|3|1460|2270|23.67|49248|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
47-2111.00|Electricians|49-3042|Mobile Heavy Equipment Mechanics, Except Engines|3|1250|1270|38.13|79318|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
49-3031.00|Bus and Truck Mechanics and Diesel Engine Specialists|49-3042|Mobile Heavy Equipment Mechanics, Except Engines|4|1250|1270|38.13|79318|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
49-9041.00|Industrial Machinery Mechanics|49-3042|Mobile Heavy Equipment Mechanics, Except Engines|3|1250|1270|38.13|79318|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
47-5013.00|Service Unit Operators, Oil, Gas, and Mining|49-3043|Rail Car Repairers|8|1250|1270|38.13|79318|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
47-5081.00|Helpers--Extraction Workers|49-3043|Rail Car Repairers|8|1250|1270|38.13|79318|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
47-5012.00|Rotary Drill Operators, Oil and Gas|53-7121|Tank Car, Truck, and Ship Loaders|6|1230|1750|31.38|65278|No formal educational credential|None|Short-term on-the-job training|Contra Costa
47-5081.00|Helpers--Extraction Workers|53-7121|Tank Car, Truck, and Ship Loaders|9|1230|1750|31.38|65278|No formal educational credential|None|Short-term on-the-job training|Contra Costa
51-8093.00|Petroleum Pump System Operators, Refinery Operators, and Gaugers|53-7121|Tank Car, Truck, and Ship Loaders|9|1230|1750|31.38|65278|No formal educational credential|None|Short-term on-the-job training|Contra Costa
49-9071.00|Maintenance and Repair Workers, General|49-9041|Industrial Machinery Mechanics|5|1200|1230|35.85|74566|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
51-8091.00|Chemical Plant and System Operators|51-9023|Mixing and Blending Machine Setters, Operators, and Tenders|7|1100|1380|21.44|44580|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-9011.00|Chemical Equipment Operators and Tenders|51-9023|Mixing and Blending Machine Setters, Operators, and Tenders|7|1100|1380|21.44|44580|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
47-2152.01|Pipe Fitters and Steamfitters|47-2211|Sheet Metal Workers|4|1080|1290|35.16|73125|High school diploma or equivalent|None|Apprenticeship|Contra Costa
47-2152.02|Plumbers|47-2211|Sheet Metal Workers|8|1080|1290|35.16|73125|High school diploma or equivalent|None|Apprenticeship|Contra Costa
51-9023.00|Mixing and Blending Machine Setters, Operators, and Tenders|51-3092|Food Batchmakers|7|1050|1640|17.97|37362|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-9061.00|Inspectors, Testers, Sorters, Samplers, and Weighers|51-3092|Food Batchmakers|2|1050|1640|17.97|37362|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
49-9041.00|Industrial Machinery Mechanics|17-3029|Manufacturing Production Technicians|10|940|1060|0|0|Associate's degree|None|None|Contra Costa
51-1011.00|First-Line Supervisors of Production and Operating Workers|17-3029|Non-Destructive Testing Specialists|4|940|1060|0|0|Associate's degree|None|None|Contra Costa
51-8013.00|Power Plant Operators|17-3029|Manufacturing Production Technicians|9|940|1060|0|0|Associate's degree|None|None|Contra Costa
51-8091.00|Chemical Plant and System Operators|17-3029|Non-Destructive Testing Specialists|10|940|1060|0|0|Associate's degree|None|None|Contra Costa
51-8092.00|Gas Plant Operators|17-3029|Manufacturing Production Technicians|5|940|1060|0|0|Associate's degree|None|None|Contra Costa
51-8093.00|Petroleum Pump System Operators, Refinery Operators, and Gaugers|17-3029|Non-Destructive Testing Specialists|6|940|1060|0|0|Associate's degree|None|None|Contra Costa
51-9011.00|Chemical Equipment Operators and Tenders|17-3029|Non-Destructive Testing Specialists|10|940|1060|0|0|Associate's degree|None|None|Contra Costa
47-2152.01|Pipe Fitters and Steamfitters|49-9044|Millwrights|2|920|1030|43.85|91212|High school diploma or equivalent|None|Apprenticeship|Contra Costa
47-2152.02|Plumbers|49-9044|Millwrights|4|920|1030|43.85|91212|High school diploma or equivalent|None|Apprenticeship|Contra Costa
49-9041.00|Industrial Machinery Mechanics|49-9044|Millwrights|9|920|1030|43.85|91212|High school diploma or equivalent|None|Apprenticeship|Contra Costa
49-9071.00|Maintenance and Repair Workers, General|49-9044|Millwrights|9|920|1030|43.85|91212|High school diploma or equivalent|None|Apprenticeship|Contra Costa
47-5071.00|Roustabouts, Oil and Gas|49-9045|Refractory Materials Repairers, Except Brickmasons|10|920|1030|43.85|91212|High school diploma or equivalent|None|Apprenticeship|Contra Costa
51-4041.00|Machinists|51-7011|Cabinetmakers and Bench Carpenters|7|910|920|19.09|39708|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-4121.06|Welders, Cutters, and Welder Fitters|51-4031|Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic|3|880|890|20.15|41912|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-9061.00|Inspectors, Testers, Sorters, Samplers, and Weighers|51-4031|Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic|8|880|890|20.15|41912|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-9111.00|Packaging and Filling Machine Operators and Tenders|51-4031|Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic|1|880|890|20.15|41912|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
53-7051.00|Industrial Truck and Tractor Operators|51-4031|Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic|2|880|890|20.15|41912|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-9198.00|Helpers--Production Workers|51-3023|Slaughterers and Meat Packers|6|760|1090|17.41|36218|No formal educational credential|None|Short-term on-the-job training|Contra Costa
51-9198.00|Helpers--Production Workers|51-6031|Sewing Machine Operators|7|730|710|16.26|33819|No formal educational credential|None|Short-term on-the-job training|Contra Costa
51-8013.00|Power Plant Operators|19-4051|Nuclear Equipment Operation Technicians|3|640|710|25.69|53443|Associate's degree|None|Moderate-term on-the-job training|Contra Costa
49-3031.00|Bus and Truck Mechanics and Diesel Engine Specialists|53-6051|Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation|2|640|940|17.9|37237|No formal educational credential|None|Short-term on-the-job training|Contra Costa
49-9012.00|Control and Valve Installers and Repairers, Except Mechanical Door|53-6051|Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation|1|640|940|17.9|37237|No formal educational credential|None|Short-term on-the-job training|Contra Costa
51-8092.00|Gas Plant Operators|53-6051|Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation|8|640|940|17.9|37237|No formal educational credential|None|Short-term on-the-job training|Contra Costa
47-5081.00|Helpers--Extraction Workers|51-9121|Coating, Painting, and Spraying Machine Setters, Operators, and Tenders|7|620|820|0|0|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-4121.07|Solderers and Brazers|51-9121|Coating, Painting, and Spraying Machine Setters, Operators, and Tenders|4|620|820|0|0|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-9023.00|Mixing and Blending Machine Setters, Operators, and Tenders|51-9121|Coating, Painting, and Spraying Machine Setters, Operators, and Tenders|4|620|820|0|0|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-9111.00|Packaging and Filling Machine Operators and Tenders|51-9121|Coating, Painting, and Spraying Machine Setters, Operators, and Tenders|3|620|820|0|0|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-4041.00|Machinists|51-4011|Computer-Controlled Machine Tool Operators, Metal and Plastic|5|570|560|0|0|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-9061.00|Inspectors, Testers, Sorters, Samplers, and Weighers|43-9051|Mail Clerks and Mail Machine Operators, Except Postal Service|9|560|490|18.53|38532|High school diploma or equivalent|None|Short-term on-the-job training|Contra Costa
47-2152.01|Pipe Fitters and Steamfitters|49-9051|Electrical Power-Line Installers and Repairers|10|490|390|57.17|118903|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
47-2152.02|Plumbers|49-9051|Electrical Power-Line Installers and Repairers|7|490|390|57.17|118903|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
47-1011.00|First-Line Supervisors of Construction Trades and Extraction Workers|17-3031|Surveying Technicians|10|480|570|40.77|84799|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-4121.07|Solderers and Brazers|51-9032|Cutting and Slicing Machine Setters, Operators, and Tenders|7|480|580|20.09|41782|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-9011.00|Chemical Equipment Operators and Tenders|51-9032|Cutting and Slicing Machine Setters, Operators, and Tenders|8|480|580|20.09|41782|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-4121.07|Solderers and Brazers|51-9041|Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders|8|480|580|20.09|41782|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-9111.00|Packaging and Filling Machine Operators and Tenders|51-9041|Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders|6|480|580|20.09|41782|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-4121.06|Welders, Cutters, and Welder Fitters|51-4072|Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic|5|470|420|20|41593|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
51-9111.00|Packaging and Filling Machine Operators and Tenders|51-4072|Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic|7|470|420|20|41593|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
49-9012.00|Control and Valve Installers and Repairers, Except Mechanical Door|49-2098|Security and Fire Alarm Systems Installers|6|460|620|26.5|55113|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
49-9041.00|Industrial Machinery Mechanics|49-9043|Maintenance Workers, Machinery|4|460|450|30.06|62514|High school diploma or equivalent|None|Long-term on-the-job training|Contra Costa
