Current SOC,Current Title,Match SOC,,Match Title,Index,Base Employment,Numeric Change,% Change,Total Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training,
47-2073.00,Operating Engineers and Other Construction Equipment Operators,53-7021.00,53-7021,Crane and Tower Operators,1,470,50,0.1,620,33.84,70403,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Kern
51-8013.00,Power Plant Operators,19-4051.01,19-4051,Nuclear Equipment Operation Technicians,3,460,10,0,470,0,0,Associate's degree,None,Moderate-term on-the-job training,Kern
47-5012.00,"Rotary Drill Operators, Oil and Gas",47-5011.00,47-5011,"Derrick Operators, Oil and Gas",9,450,30,0.1,680,25.64,53332,No formal educational credential,None,Short-term on-the-job training,Kern
47-5071.00,"Roustabouts, Oil and Gas",47-5011.00,47-5011,"Derrick Operators, Oil and Gas",2,450,30,0.1,680,25.64,53332,No formal educational credential,None,Short-term on-the-job training,Kern
51-4041.00,Machinists,51-4011.00,51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",5,430,0,0,440,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-4121.07,Solderers and Brazers,51-5113.00,51-5113,Print Binding and Finishing Workers,2,400,-70,-0.2,440,16.29,33888,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",51-5113.00,51-5113,Print Binding and Finishing Workers,1,400,-70,-0.2,440,16.29,33888,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-9111.00,Packaging and Filling Machine Operators and Tenders,51-5113.00,51-5113,Print Binding and Finishing Workers,10,400,-70,-0.2,440,16.29,33888,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
53-7051.00,Industrial Truck and Tractor Operators,51-5113.00,51-5113,Print Binding and Finishing Workers,4,400,-70,-0.2,440,16.29,33888,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",51-5113.00,51-5113,Print Binding and Finishing Workers,9,400,-70,-0.2,440,16.29,33888,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,17-3031.01,17-3031,Surveying Technicians,10,390,30,0.1,500,30.65,63756,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
47-2073.00,Operating Engineers and Other Construction Equipment Operators,53-7032.00,53-7032,Excavating and Loading Machine and Dragline Operators,2,370,50,0.1,520,0,0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Kern
47-2073.00,Operating Engineers and Other Construction Equipment Operators,53-7033.00,53-7033,"Loading Machine Operators, Underground Mining",6,370,50,0.1,520,0,0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Kern
47-5011.00,"Derrick Operators, Oil and Gas",47-3011.00,47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",2,370,80,0.2,620,17.76,36936,No formal educational credential,None,Short-term on-the-job training,Kern
47-5013.00,"Service Unit Operators, Oil, Gas, and Mining",53-7032.00,53-7032,Excavating and Loading Machine and Dragline Operators,10,370,50,0.1,520,0,0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Kern
47-5071.00,"Roustabouts, Oil and Gas",47-3011.00,47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",1,370,80,0.2,620,17.76,36936,No formal educational credential,None,Short-term on-the-job training,Kern
47-5081.00,Helpers--Extraction Workers,53-7041.00,53-7041,Hoist and Winch Operators,3,370,50,0.1,520,0,0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Kern
47-5081.00,Helpers--Extraction Workers,53-7032.00,53-7032,Excavating and Loading Machine and Dragline Operators,10,370,50,0.1,520,0,0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Kern
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,53-7032.00,53-7032,Excavating and Loading Machine and Dragline Operators,2,370,50,0.1,520,0,0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Kern
53-7051.00,Industrial Truck and Tractor Operators,53-7032.00,53-7032,Excavating and Loading Machine and Dragline Operators,10,370,50,0.1,520,0,0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Kern
53-7073.00,Wellhead Pumpers,53-7032.00,53-7032,Excavating and Loading Machine and Dragline Operators,8,370,50,0.1,520,0,0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Kern
47-2073.00,Operating Engineers and Other Construction Equipment Operators,47-2071.00,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",3,350,30,0.1,470,32.03,66618,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
47-2073.00,Operating Engineers and Other Construction Equipment Operators,47-2072.00,47-2072,Pile-Driver Operators,4,350,30,0.1,470,32.03,66618,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
47-5011.00,"Derrick Operators, Oil and Gas",47-2072.00,47-2072,Pile-Driver Operators,7,350,30,0.1,470,32.03,66618,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
47-5071.00,"Roustabouts, Oil and Gas",47-2071.00,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",7,350,30,0.1,470,32.03,66618,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,47-2071.00,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",4,350,30,0.1,470,32.03,66618,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,47-2072.00,47-2072,Pile-Driver Operators,8,350,30,0.1,470,32.03,66618,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
53-7073.00,Wellhead Pumpers,47-2072.00,47-2072,Pile-Driver Operators,3,350,30,0.1,470,32.03,66618,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-9198.00,Helpers--Production Workers,51-6031.00,51-6031,Sewing Machine Operators,7,340,30,0.1,430,15.39,32003,No formal educational credential,None,Short-term on-the-job training,Kern
47-5013.00,"Service Unit Operators, Oil, Gas, and Mining",53-4021.00,53-4021,"Railroad Brake, Signal, and Switch Operators",6,320,40,0.1,600,22.7,47200,No formal educational credential,None,Short-term on-the-job training,Kern
47-5081.00,Helpers--Extraction Workers,53-5011.00,53-5011,Sailors and Marine Oilers,6,320,40,0.1,600,22.7,47200,No formal educational credential,None,Short-term on-the-job training,Kern
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,53-4021.00,53-4021,"Railroad Brake, Signal, and Switch Operators",3,320,40,0.1,600,22.7,47200,No formal educational credential,None,Short-term on-the-job training,Kern
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,53-4012.00,53-4012,Locomotive Firers,5,320,40,0.1,600,22.7,47200,No formal educational credential,None,Short-term on-the-job training,Kern
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,53-5011.00,53-5011,Sailors and Marine Oilers,10,320,40,0.1,600,22.7,47200,No formal educational credential,None,Short-term on-the-job training,Kern
47-2152.01,Pipe Fitters and Steamfitters,49-9092.00,49-9092,Commercial Divers,9,300,-20,-0.1,310,16.88,35123,High school diploma or equivalent,None,Short-term on-the-job training,Kern
47-2152.02,Plumbers,49-9092.00,49-9092,Commercial Divers,6,300,-20,-0.1,310,16.88,35123,High school diploma or equivalent,None,Short-term on-the-job training,Kern
51-4121.06,"Welders, Cutters, and Welder Fitters",51-4022.00,51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",6,300,-10,0,360,17.55,36508,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",51-4022.00,51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",10,300,-10,0,360,17.55,36508,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-9111.00,Packaging and Filling Machine Operators and Tenders,51-4022.00,51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",9,300,-10,0,360,17.55,36508,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-4041.00,Machinists,51-9195.04,51-9195,"Glass Blowers, Molders, Benders, and Finishers",8,290,30,0.1,360,18.3,38070,High school diploma or equivalent,None,Long-term on-the-job training,Kern
51-4121.06,"Welders, Cutters, and Welder Fitters",51-9195.07,51-9195,Molding and Casting Workers,8,290,30,0.1,360,18.3,38070,High school diploma or equivalent,None,Long-term on-the-job training,Kern
51-4121.07,Solderers and Brazers,51-9195.07,51-9195,Molding and Casting Workers,5,290,30,0.1,360,18.3,38070,High school diploma or equivalent,None,Long-term on-the-job training,Kern
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",51-9195.07,51-9195,Molding and Casting Workers,5,290,30,0.1,360,18.3,38070,High school diploma or equivalent,None,Long-term on-the-job training,Kern
51-9111.00,Packaging and Filling Machine Operators and Tenders,51-9195.07,51-9195,Molding and Casting Workers,4,290,30,0.1,360,18.3,38070,High school diploma or equivalent,None,Long-term on-the-job training,Kern
51-9198.00,Helpers--Production Workers,51-9195.07,51-9195,Molding and Casting Workers,10,290,30,0.1,360,18.3,38070,High school diploma or equivalent,None,Long-term on-the-job training,Kern
53-7051.00,Industrial Truck and Tractor Operators,51-9195.07,51-9195,Molding and Casting Workers,3,290,30,0.1,360,18.3,38070,High school diploma or equivalent,None,Long-term on-the-job training,Kern
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",51-9195.07,51-9195,Molding and Casting Workers,4,290,30,0.1,360,18.3,38070,High school diploma or equivalent,None,Long-term on-the-job training,Kern
47-2111.00,Electricians,51-8021.00,51-8021,Stationary Engineers and Boiler Operators,10,280,20,0.1,330,39.19,81510,High school diploma or equivalent,None,Long-term on-the-job training,Kern
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",33-1021.01,33-1021,Municipal Fire Fighting and Prevention Supervisors,3,280,20,0.1,200,50.23,104486,Postsecondary non-degree award,Less than 5 years,Moderate-term on-the-job training,Kern
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",33-1021.02,33-1021,Forest Fire Fighting and Prevention Supervisors,7,280,20,0.1,200,50.23,104486,Postsecondary non-degree award,Less than 5 years,Moderate-term on-the-job training,Kern
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,51-8021.00,51-8021,Stationary Engineers and Boiler Operators,9,280,20,0.1,330,39.19,81510,High school diploma or equivalent,None,Long-term on-the-job training,Kern
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",51-8021.00,51-8021,Stationary Engineers and Boiler Operators,4,280,20,0.1,330,39.19,81510,High school diploma or equivalent,None,Long-term on-the-job training,Kern
49-9041.00,Industrial Machinery Mechanics,51-8021.00,51-8021,Stationary Engineers and Boiler Operators,8,280,20,0.1,330,39.19,81510,High school diploma or equivalent,None,Long-term on-the-job training,Kern
49-9071.00,"Maintenance and Repair Workers, General",51-8021.00,51-8021,Stationary Engineers and Boiler Operators,3,280,20,0.1,330,39.19,81510,High school diploma or equivalent,None,Long-term on-the-job training,Kern
51-8013.00,Power Plant Operators,51-8021.00,51-8021,Stationary Engineers and Boiler Operators,2,280,20,0.1,330,39.19,81510,High school diploma or equivalent,None,Long-term on-the-job training,Kern
51-8092.00,Gas Plant Operators,51-8021.00,51-8021,Stationary Engineers and Boiler Operators,1,280,20,0.1,330,39.19,81510,High school diploma or equivalent,None,Long-term on-the-job training,Kern
47-5012.00,"Rotary Drill Operators, Oil and Gas",47-4041.00,47-4041,Hazardous Materials Removal Workers,5,260,40,0.2,400,23.72,49353,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,53-6051.07,53-6051,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",2,260,50,0.2,340,31.66,65858,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",53-6051.07,53-6051,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",1,260,50,0.2,340,31.66,65858,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-8092.00,Gas Plant Operators,53-6051.07,53-6051,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",8,260,50,0.2,340,31.66,65858,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-9011.00,Chemical Equipment Operators and Tenders,47-4041.00,47-4041,Hazardous Materials Removal Workers,9,260,40,0.2,400,23.72,49353,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",47-4031.00,47-4031,Fence Erectors,3,260,30,0.1,360,22.52,46841,No formal educational credential,None,Moderate-term on-the-job training,Kern
53-7121.00,"Tank Car, Truck, and Ship Loaders",47-4041.00,47-4041,Hazardous Materials Removal Workers,3,260,40,0.2,400,23.72,49353,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,49-3092.00,49-3092,Recreational Vehicle Service Technicians,10,250,20,0.1,320,22.31,46399,High school diploma or equivalent,None,Long-term on-the-job training,Kern
51-8091.00,Chemical Plant and System Operators,51-9011.00,51-9011,Chemical Equipment Operators and Tenders,4,250,0,0,290,20.98,43657,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-9011.00,51-9011,Chemical Equipment Operators and Tenders,1,250,0,0,290,20.98,43657,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-9111.00,Packaging and Filling Machine Operators and Tenders,51-9191.00,51-9191,Adhesive Bonding Machine Operators and Tenders,2,240,20,0.1,350,21.08,43846,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
53-7051.00,Industrial Truck and Tractor Operators,51-9191.00,51-9191,Adhesive Bonding Machine Operators and Tenders,5,240,20,0.1,350,21.08,43846,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-8013.00,Power Plant Operators,53-7072.00,53-7072,"Pump Operators, Except Wellhead Pumpers",10,210,30,0.1,290,24.22,50366,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-8091.00,Chemical Plant and System Operators,53-7072.00,53-7072,"Pump Operators, Except Wellhead Pumpers",1,210,30,0.1,290,24.22,50366,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-8091.00,Chemical Plant and System Operators,51-9193.00,51-9193,Cooling and Freezing Equipment Operators and Tenders,8,210,20,0.1,280,15.28,31787,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-8092.00,Gas Plant Operators,53-7072.00,53-7072,"Pump Operators, Except Wellhead Pumpers",6,210,30,0.1,290,24.22,50366,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",53-7072.00,53-7072,"Pump Operators, Except Wellhead Pumpers",4,210,30,0.1,290,24.22,50366,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-9193.00,51-9193,Cooling and Freezing Equipment Operators and Tenders,8,210,20,0.1,280,15.28,31787,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-9011.00,Chemical Equipment Operators and Tenders,53-7072.00,53-7072,"Pump Operators, Except Wellhead Pumpers",4,210,30,0.1,290,24.22,50366,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",51-9193.00,51-9193,Cooling and Freezing Equipment Operators and Tenders,10,210,20,0.1,280,15.28,31787,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
53-7073.00,Wellhead Pumpers,53-7072.00,53-7072,"Pump Operators, Except Wellhead Pumpers",4,210,30,0.1,290,24.22,50366,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
53-7073.00,Wellhead Pumpers,51-9193.00,51-9193,Cooling and Freezing Equipment Operators and Tenders,9,210,20,0.1,280,15.28,31787,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
53-7121.00,"Tank Car, Truck, and Ship Loaders",53-7072.00,53-7072,"Pump Operators, Except Wellhead Pumpers",4,210,30,0.1,290,24.22,50366,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-4121.06,"Welders, Cutters, and Welder Fitters",51-4122.00,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",2,200,-10,0,200,23.01,47867,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,49-3051.00,49-3051,Motorboat Mechanics and Service Technicians,1,190,10,0.1,200,21.04,43781,High school diploma or equivalent,None,Long-term on-the-job training,Kern
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",49-3051.00,49-3051,Motorboat Mechanics and Service Technicians,3,190,10,0.1,200,21.04,43781,High school diploma or equivalent,None,Long-term on-the-job training,Kern
49-9071.00,"Maintenance and Repair Workers, General",49-3051.00,49-3051,Motorboat Mechanics and Service Technicians,2,190,10,0.1,200,21.04,43781,High school diploma or equivalent,None,Long-term on-the-job training,Kern
49-9071.00,"Maintenance and Repair Workers, General",49-3052.00,49-3052,Motorcycle Mechanics,8,190,10,0.1,200,21.04,43781,High school diploma or equivalent,None,Long-term on-the-job training,Kern
51-4041.00,Machinists,51-4111.00,51-4111,Tool and Die Makers,4,170,10,0,170,26.09,54264,Postsecondary non-degree award,None,Long-term on-the-job training,Kern
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",17-3025.00,17-3025,Environmental Engineering Technicians,9,160,10,0.1,170,26.87,55901,Associate's degree,None,None,Kern
49-9041.00,Industrial Machinery Mechanics,49-2092.00,49-2092,"Electric Motor, Power Tool, and Related Repairers",1,150,10,0.1,170,23.23,48308,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Kern
49-9071.00,"Maintenance and Repair Workers, General",49-2092.00,49-2092,"Electric Motor, Power Tool, and Related Repairers",6,150,10,0.1,170,23.23,48308,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Kern
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",51-2092.00,51-2092,Team Assemblers,5,150,0,0,180,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",43-5041.00,43-5041,"Meter Readers, Utilities",1,150,-10,-0.1,130,26.29,54675,High school diploma or equivalent,None,Short-term on-the-job training,Kern
47-5013.00,"Service Unit Operators, Oil, Gas, and Mining",51-4023.00,51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",9,140,-20,-0.1,110,18.15,37757,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-9011.00,Chemical Equipment Operators and Tenders,51-4023.00,51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",5,140,-20,-0.1,110,18.15,37757,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",51-6093.00,51-6093,Upholsterers,7,140,0,0,140,18.75,38990,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-4121.07,Solderers and Brazers,51-2023.00,51-2023,Electromechanical Equipment Assemblers,9,120,-30,-0.3,90,18.17,37791,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-9198.00,Helpers--Production Workers,51-2021.00,51-2021,"Coil Winders, Tapers, and Finishers",4,120,-30,-0.3,90,18.17,37791,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
53-7051.00,Industrial Truck and Tractor Operators,51-2021.00,51-2021,"Coil Winders, Tapers, and Finishers",7,120,-30,-0.3,90,18.17,37791,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",51-8092.00,51-8092,Gas Plant Operators,7,110,-10,-0.1,100,29.01,60340,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-8013.00,Power Plant Operators,51-8092.00,51-8092,Gas Plant Operators,1,110,-10,-0.1,100,29.01,60340,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-8091.00,Chemical Plant and System Operators,51-8092.00,51-8092,Gas Plant Operators,9,110,-10,-0.1,100,29.01,60340,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8091.00,51-8091,Chemical Plant and System Operators,3,110,-10,-0.1,100,29.01,60340,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8092.00,51-8092,Gas Plant Operators,7,110,-10,-0.1,100,29.01,60340,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-9011.00,Chemical Equipment Operators and Tenders,51-8091.00,51-8091,Chemical Plant and System Operators,3,110,-10,-0.1,100,29.01,60340,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-4041.00,Machinists,51-4035.00,51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",2,100,-10,-0.1,80,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-4041.00,Machinists,51-4012.00,51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",9,80,20,0.3,110,0,0,Postsecondary non-degree award,None,Moderate-term on-the-job training,Kern
51-4121.06,"Welders, Cutters, and Welder Fitters",51-2031.00,51-2031,Engine and Other Machine Assemblers,7,80,-10,-0.1,90,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-4121.07,Solderers and Brazers,51-2031.00,51-2031,Engine and Other Machine Assemblers,10,80,-10,-0.1,90,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,49-9097.00,49-9097,Signal and Track Switch Repairers,7,70,0,0,70,29.86,62115,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",49-9097.00,49-9097,Signal and Track Switch Repairers,9,70,0,0,70,29.86,62115,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
49-9071.00,"Maintenance and Repair Workers, General",49-9097.00,49-9097,Signal and Track Switch Repairers,10,70,0,0,70,29.86,62115,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-8013.00,Power Plant Operators,49-9097.00,49-9097,Signal and Track Switch Repairers,6,70,0,0,70,29.86,62115,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-8092.00,Gas Plant Operators,49-9097.00,49-9097,Signal and Track Switch Repairers,10,70,0,0,70,29.86,62115,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,47-5031.00,47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",6,50,0,0,60,0,0,High school diploma or equivalent,Less than 5 years,Long-term on-the-job training,Kern
47-5012.00,"Rotary Drill Operators, Oil and Gas",47-5031.00,47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",4,50,0,0,60,0,0,High school diploma or equivalent,Less than 5 years,Long-term on-the-job training,Kern
47-5071.00,"Roustabouts, Oil and Gas",47-5051.00,47-5051,"Rock Splitters, Quarry",4,50,0,0,60,0,0,High school diploma or equivalent,Less than 5 years,Long-term on-the-job training,Kern
47-5071.00,"Roustabouts, Oil and Gas",47-5061.00,47-5061,"Roof Bolters, Mining",9,50,0,0,60,0,0,High school diploma or equivalent,Less than 5 years,Long-term on-the-job training,Kern
47-5081.00,Helpers--Extraction Workers,47-5042.00,47-5042,Mine Cutting and Channeling Machine Operators,2,50,0,0,60,0,0,High school diploma or equivalent,Less than 5 years,Long-term on-the-job training,Kern
51-4121.07,Solderers and Brazers,51-9141.00,51-9141,Semiconductor Processors,6,50,0,0.1,60,21.18,44049,No formal educational credential,None,Moderate-term on-the-job training,Kern
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",51-4191.00,51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",2,50,0,-0.1,50,20.03,41668,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-9111.00,Packaging and Filling Machine Operators and Tenders,51-6064.00,51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",8,50,-30,-0.6,10,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
53-7121.00,"Tank Car, Truck, and Ship Loaders",47-5031.00,47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",9,50,0,0,60,0,0,High school diploma or equivalent,Less than 5 years,Long-term on-the-job training,Kern
51-4121.06,"Welders, Cutters, and Welder Fitters",51-4193.00,51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",10,40,0,0.1,40,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",51-6061.00,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,8,40,10,0.1,60,14.72,30608,No formal educational credential,None,Moderate-term on-the-job training,Kern
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",53-5021.01,53-5021,Ship and Boat Captains,5,20,0,0,20,0,0,Postsecondary non-degree award,Less than 5 years,None,Kern
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,53-5022.00,53-5022,Motorboat Operators,7,20,0,0,20,0,0,Postsecondary non-degree award,Less than 5 years,None,Kern
47-2073.00,Operating Engineers and Other Construction Equipment Operators,47-4061.00,47-4061,Rail-Track Laying and Maintenance Equipment Operators,8,10,0,0,10,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
47-5011.00,"Derrick Operators, Oil and Gas",47-4061.00,47-4061,Rail-Track Laying and Maintenance Equipment Operators,4,10,0,0,10,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
47-5011.00,"Derrick Operators, Oil and Gas",47-4071.00,47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,6,10,0,0,10,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
47-5012.00,"Rotary Drill Operators, Oil and Gas",47-4061.00,47-4061,Rail-Track Laying and Maintenance Equipment Operators,8,10,0,0,10,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
47-5013.00,"Service Unit Operators, Oil, Gas, and Mining",47-4061.00,47-4061,Rail-Track Laying and Maintenance Equipment Operators,1,10,0,0,10,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
47-5071.00,"Roustabouts, Oil and Gas",47-4061.00,47-4061,Rail-Track Laying and Maintenance Equipment Operators,5,10,0,0,10,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
47-5081.00,Helpers--Extraction Workers,47-4061.00,47-4061,Rail-Track Laying and Maintenance Equipment Operators,1,10,0,0,10,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",47-4061.00,47-4061,Rail-Track Laying and Maintenance Equipment Operators,2,10,0,0,10,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
53-7073.00,Wellhead Pumpers,47-4061.00,47-4061,Rail-Track Laying and Maintenance Equipment Operators,5,10,0,0,10,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
53-7121.00,"Tank Car, Truck, and Ship Loaders",47-4061.00,47-4061,Rail-Track Laying and Maintenance Equipment Operators,7,10,0,0,10,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
