Current SOC,Current Title,Match SOC,,Match Title,Index,Base Employment,Numeric Change,% Change,Total Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training,
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",53-7051.00,53-7051,Industrial Truck and Tractor Operators,10,2680,280,0.1,3460,21.95,45661,No formal educational credential,None,Short-term on-the-job training,Contra Costa
49-9041.00,Industrial Machinery Mechanics,51-4041.00,51-4041,Machinists,7,2650,170,0.1,2950,27.28,56742,High school diploma or equivalent,None,Long-term on-the-job training,Contra Costa
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",51-4051.00,51-4051,Metal-Refining Furnace Operators and Tenders,6,2650,170,0.1,2950,27.28,56742,High school diploma or equivalent,None,Long-term on-the-job training,Contra Costa
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",49-3031.00,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,2,2480,60,0,2370,35.05,72903,High school diploma or equivalent,None,Long-term on-the-job training,Contra Costa
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,49-3041.00,49-3041,Farm Equipment Mechanics and Service Technicians,5,2480,60,0,2370,35.05,72903,High school diploma or equivalent,None,Long-term on-the-job training,Contra Costa
47-2111.00,Electricians,49-2022.00,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",7,2290,-180,-0.1,2240,37.97,78975,Postsecondary non-degree award,None,Moderate-term on-the-job training,Contra Costa
49-9041.00,Industrial Machinery Mechanics,49-2092.00,49-2092,"Electric Motor, Power Tool, and Related Repairers",1,2290,-180,-0.1,2240,37.97,78975,Postsecondary non-degree award,None,Moderate-term on-the-job training,Contra Costa
49-9071.00,"Maintenance and Repair Workers, General",49-2092.00,49-2092,"Electric Motor, Power Tool, and Related Repairers",6,2290,-180,-0.1,2240,37.97,78975,Postsecondary non-degree award,None,Moderate-term on-the-job training,Contra Costa
47-2111.00,Electricians,49-9021.01,49-9021,Heating and Air Conditioning Mechanics and Installers,1,2160,290,0.1,2530,35.07,72944,Postsecondary non-degree award,None,Long-term on-the-job training,Contra Costa
47-2111.00,Electricians,49-9021.02,49-9021,Refrigeration Mechanics and Installers,2,2160,290,0.1,2530,35.07,72944,Postsecondary non-degree award,None,Long-term on-the-job training,Contra Costa
47-2152.01,Pipe Fitters and Steamfitters,49-9021.01,49-9021,Heating and Air Conditioning Mechanics and Installers,6,2160,290,0.1,2530,35.07,72944,Postsecondary non-degree award,None,Long-term on-the-job training,Contra Costa
47-2152.02,Plumbers,49-9021.01,49-9021,Heating and Air Conditioning Mechanics and Installers,3,2160,290,0.1,2530,35.07,72944,Postsecondary non-degree award,None,Long-term on-the-job training,Contra Costa
47-2152.02,Plumbers,49-9021.02,49-9021,Refrigeration Mechanics and Installers,9,2160,290,0.1,2530,35.07,72944,Postsecondary non-degree award,None,Long-term on-the-job training,Contra Costa
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",49-9021.01,49-9021,Heating and Air Conditioning Mechanics and Installers,8,2160,290,0.1,2530,35.07,72944,Postsecondary non-degree award,None,Long-term on-the-job training,Contra Costa
51-8013.00,Power Plant Operators,51-8093.00,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",8,1890,-390,-0.2,1480,47.17,98102,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-8091.00,Chemical Plant and System Operators,51-8093.00,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",3,1890,-390,-0.2,1480,47.17,98102,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-8092.00,Gas Plant Operators,51-8093.00,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",9,1890,-390,-0.2,1480,47.17,98102,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-9011.00,Chemical Equipment Operators and Tenders,51-8093.00,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",2,1890,-390,-0.2,1480,47.17,98102,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
53-7121.00,"Tank Car, Truck, and Ship Loaders",51-8093.00,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",10,1890,-390,-0.2,1480,47.17,98102,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,37-1012.00,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",1,1730,150,0.1,2110,31.5,65532,High school diploma or equivalent,Less than 5 years,None,Contra Costa
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",51-4121.07,51-4121,Solderers and Brazers,4,1680,90,0.1,1980,27.46,57113,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-9198.00,Helpers--Production Workers,51-4121.06,51-4121,"Welders, Cutters, and Welder Fitters",5,1680,90,0.1,1980,27.46,57113,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
53-7051.00,Industrial Truck and Tractor Operators,51-4121.06,51-4121,"Welders, Cutters, and Welder Fitters",6,1680,90,0.1,1980,27.46,57113,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,11-3051.00,Nov-51,Industrial Production Managers,8,1650,150,0.1,1400,65.59,136422,Bachelor's degree,5 years or more,None,Contra Costa
47-5012.00,"Rotary Drill Operators, Oil and Gas",47-4041.00,47-4041,Hazardous Materials Removal Workers,5,1460,270,0.2,2270,23.67,49248,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-9011.00,Chemical Equipment Operators and Tenders,47-4041.00,47-4041,Hazardous Materials Removal Workers,9,1460,270,0.2,2270,23.67,49248,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
53-7121.00,"Tank Car, Truck, and Ship Loaders",47-4041.00,47-4041,Hazardous Materials Removal Workers,3,1460,270,0.2,2270,23.67,49248,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-2111.00,Electricians,49-3042.00,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",3,1250,20,0,1270,38.13,79318,High school diploma or equivalent,None,Long-term on-the-job training,Contra Costa
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,49-3042.00,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",4,1250,20,0,1270,38.13,79318,High school diploma or equivalent,None,Long-term on-the-job training,Contra Costa
49-9041.00,Industrial Machinery Mechanics,49-3042.00,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",3,1250,20,0,1270,38.13,79318,High school diploma or equivalent,None,Long-term on-the-job training,Contra Costa
47-5013.00,"Service Unit Operators, Oil, Gas, and Mining",49-3043.00,49-3043,Rail Car Repairers,8,1250,20,0,1270,38.13,79318,High school diploma or equivalent,None,Long-term on-the-job training,Contra Costa
47-5081.00,Helpers--Extraction Workers,49-3043.00,49-3043,Rail Car Repairers,8,1250,20,0,1270,38.13,79318,High school diploma or equivalent,None,Long-term on-the-job training,Contra Costa
47-5012.00,"Rotary Drill Operators, Oil and Gas",53-7121.00,53-7121,"Tank Car, Truck, and Ship Loaders",6,1230,30,0,1750,31.38,65278,No formal educational credential,None,Short-term on-the-job training,Contra Costa
47-5081.00,Helpers--Extraction Workers,53-7121.00,53-7121,"Tank Car, Truck, and Ship Loaders",9,1230,30,0,1750,31.38,65278,No formal educational credential,None,Short-term on-the-job training,Contra Costa
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",53-7121.00,53-7121,"Tank Car, Truck, and Ship Loaders",9,1230,30,0,1750,31.38,65278,No formal educational credential,None,Short-term on-the-job training,Contra Costa
49-9071.00,"Maintenance and Repair Workers, General",49-9041.00,49-9041,Industrial Machinery Mechanics,5,1200,90,0.1,1230,35.85,74566,High school diploma or equivalent,None,Long-term on-the-job training,Contra Costa
51-8091.00,Chemical Plant and System Operators,51-9023.00,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",7,1100,70,0.1,1380,21.44,44580,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-9011.00,Chemical Equipment Operators and Tenders,51-9023.00,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",7,1100,70,0.1,1380,21.44,44580,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-2152.01,Pipe Fitters and Steamfitters,47-2211.00,47-2211,Sheet Metal Workers,4,1080,70,0.1,1290,35.16,73125,High school diploma or equivalent,None,Apprenticeship,Contra Costa
47-2152.02,Plumbers,47-2211.00,47-2211,Sheet Metal Workers,8,1080,70,0.1,1290,35.16,73125,High school diploma or equivalent,None,Apprenticeship,Contra Costa
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",51-3092.00,51-3092,Food Batchmakers,7,1050,50,0,1640,17.97,37362,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",51-3092.00,51-3092,Food Batchmakers,2,1050,50,0,1640,17.97,37362,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
49-9041.00,Industrial Machinery Mechanics,17-3029.09,17-3029,Manufacturing Production Technicians,10,940,100,0.1,1060,0,0,Associate's degree,None,None,Contra Costa
51-1011.00,First-Line Supervisors of Production and Operating Workers,17-3029.01,17-3029,Non-Destructive Testing Specialists,4,940,100,0.1,1060,0,0,Associate's degree,None,None,Contra Costa
51-8013.00,Power Plant Operators,17-3029.09,17-3029,Manufacturing Production Technicians,9,940,100,0.1,1060,0,0,Associate's degree,None,None,Contra Costa
51-8091.00,Chemical Plant and System Operators,17-3029.01,17-3029,Non-Destructive Testing Specialists,10,940,100,0.1,1060,0,0,Associate's degree,None,None,Contra Costa
51-8092.00,Gas Plant Operators,17-3029.09,17-3029,Manufacturing Production Technicians,5,940,100,0.1,1060,0,0,Associate's degree,None,None,Contra Costa
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",17-3029.01,17-3029,Non-Destructive Testing Specialists,6,940,100,0.1,1060,0,0,Associate's degree,None,None,Contra Costa
51-9011.00,Chemical Equipment Operators and Tenders,17-3029.01,17-3029,Non-Destructive Testing Specialists,10,940,100,0.1,1060,0,0,Associate's degree,None,None,Contra Costa
47-2152.01,Pipe Fitters and Steamfitters,49-9044.00,49-9044,Millwrights,2,920,170,0.2,1030,43.85,91212,High school diploma or equivalent,None,Apprenticeship,Contra Costa
47-2152.02,Plumbers,49-9044.00,49-9044,Millwrights,4,920,170,0.2,1030,43.85,91212,High school diploma or equivalent,None,Apprenticeship,Contra Costa
49-9041.00,Industrial Machinery Mechanics,49-9044.00,49-9044,Millwrights,9,920,170,0.2,1030,43.85,91212,High school diploma or equivalent,None,Apprenticeship,Contra Costa
49-9071.00,"Maintenance and Repair Workers, General",49-9044.00,49-9044,Millwrights,9,920,170,0.2,1030,43.85,91212,High school diploma or equivalent,None,Apprenticeship,Contra Costa
47-5071.00,"Roustabouts, Oil and Gas",49-9045.00,49-9045,"Refractory Materials Repairers, Except Brickmasons",10,920,170,0.2,1030,43.85,91212,High school diploma or equivalent,None,Apprenticeship,Contra Costa
51-4041.00,Machinists,51-7011.00,51-7011,Cabinetmakers and Bench Carpenters,7,910,-20,0,920,19.09,39708,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-4121.06,"Welders, Cutters, and Welder Fitters",51-4031.00,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",3,880,-60,-0.1,890,20.15,41912,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",51-4031.00,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",8,880,-60,-0.1,890,20.15,41912,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-9111.00,Packaging and Filling Machine Operators and Tenders,51-4031.00,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",1,880,-60,-0.1,890,20.15,41912,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
53-7051.00,Industrial Truck and Tractor Operators,51-4031.00,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",2,880,-60,-0.1,890,20.15,41912,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-9198.00,Helpers--Production Workers,51-3023.00,51-3023,Slaughterers and Meat Packers,6,760,90,0.1,1090,17.41,36218,No formal educational credential,None,Short-term on-the-job training,Contra Costa
51-9198.00,Helpers--Production Workers,51-6031.00,51-6031,Sewing Machine Operators,7,730,-70,-0.1,710,16.26,33819,No formal educational credential,None,Short-term on-the-job training,Contra Costa
51-8013.00,Power Plant Operators,19-4051.01,19-4051,Nuclear Equipment Operation Technicians,3,640,50,0.1,710,25.69,53443,Associate's degree,None,Moderate-term on-the-job training,Contra Costa
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,53-6051.07,53-6051,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",2,640,0,0,940,17.9,37237,No formal educational credential,None,Short-term on-the-job training,Contra Costa
